Model,Settings,Embedding Method,Scenario,Accuracy,F1_Score,Precision,Recall,F2_Score
KNN,{'n_neighbors': 5},TransH,Baseline,0.975,0.967741935483871,0.9375,1.0,0.9868421052631579
KNN,{'n_neighbors': 5},TransH,TransH Only,0.79375,0.4838709677419355,0.46875,0.5,0.4934210526315789
KNN,{'n_neighbors': 5},TransH,TransH + Tabular,0.8541666666666666,0.6451612903225806,0.625,0.6666666666666666,0.6578947368421052
KNN,{'n_neighbors': 5},TransH,TransH FE Only,0.796875,0.4838709677419355,0.46875,0.5,0.4934210526315789
KNN,{'n_neighbors': 5},TransH,TransH + Tabular + FE,0.8324999999999999,0.5806451612903226,0.5625,0.6,0.5921052631578947
KNN,{'n_neighbors': 5},DistMult,Baseline,0.8562499999999998,0.6451612903225806,0.625,0.6666666666666666,0.6578947368421052
KNN,{'n_neighbors': 5},DistMult,DistMult Only,0.8232142857142856,0.5529953917050692,0.5357142857142857,0.5714285714285714,0.5639097744360902
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular,0.8421875,0.6048387096774194,0.5859375,0.625,0.6167763157894737
KNN,{'n_neighbors': 5},DistMult,DistMult FE Only,0.8374999999999999,0.6083414793092213,0.6319444444444444,0.6074074074074074,0.606288731779698
KNN,{'n_neighbors': 5},DistMult,DistMult + Tabular + FE,0.85125,0.6442815249266862,0.6625,0.6466666666666667,0.644344069128044
KNN,{'n_neighbors': 10},TransH,Baseline,0.9875,0.9836065573770492,0.967741935483871,1.0,0.9933774834437086
KNN,{'n_neighbors': 10},TransH,TransH Only,0.80625,0.4918032786885246,0.4838709677419355,0.5,0.4966887417218543
KNN,{'n_neighbors': 10},TransH,TransH + Tabular,0.8666666666666667,0.6557377049180327,0.6451612903225806,0.6666666666666666,0.662251655629139
KNN,{'n_neighbors': 10},TransH,TransH FE Only,0.85625,0.6657163221667854,0.7338709677419355,0.6333333333333333,0.6437475652512661
KNN,{'n_neighbors': 10},TransH,TransH + Tabular + FE,0.8825,0.7292943692088383,0.7806451612903226,0.7066666666666667,0.7136735488897546
KNN,{'n_neighbors': 10},DistMult,Baseline,0.8999999999999999,0.77167973390354,0.8118279569892474,0.7555555555555555,0.7602908713154136
KNN,{'n_neighbors': 10},DistMult,DistMult Only,0.8607142857142857,0.6614397719173201,0.695852534562212,0.6476190476190476,0.651677889698926
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular,0.8765625,0.7017106200997861,0.7298387096774194,0.6916666666666667,0.6943903389170237
KNN,{'n_neighbors': 10},DistMult,DistMult FE Only,0.8486111111111111,0.6237427734220321,0.6487455197132617,0.6148148148148148,0.6172358568151322
KNN,{'n_neighbors': 10},DistMult,DistMult + Tabular + FE,0.8625,0.6597291518175339,0.6806451612903226,0.6533333333333333,0.6548500194779898
KNN,{'n_neighbors': 15},TransH,Baseline,0.975,0.967741935483871,0.9375,1.0,0.9868421052631579
KNN,{'n_neighbors': 15},TransH,TransH Only,0.81875,0.7550574084199015,0.7446120689655172,0.7666666666666666,0.7618774284705051
KNN,{'n_neighbors': 15},TransH,TransH + Tabular,0.8708333333333332,0.825952250774558,0.8089080459770116,0.8444444444444444,0.836865654068056
KNN,{'n_neighbors': 15},TransH,TransH FE Only,0.85625,0.7861308547475852,0.8566810344827587,0.7583333333333333,0.7665381294399309
KNN,{'n_neighbors': 15},TransH,TransH + Tabular + FE,0.8799999999999999,0.8224530708948423,0.872844827586207,0.8066666666666666,0.8105989246045763
KNN,{'n_neighbors': 15},DistMult,Baseline,0.8958333333333331,0.8466678816596804,0.8836206896551725,0.8388888888888889,0.8399727880476732
KNN,{'n_neighbors': 15},DistMult,DistMult Only,0.8178571428571427,0.7927707207228748,0.8057084902926688,0.8285714285714285,0.8073626937065163
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular,0.8374999999999999,0.8146421225679993,0.8221824290060853,0.85,0.8297976201510965
KNN,{'n_neighbors': 15},DistMult,DistMult FE Only,0.8555555555555555,0.835237442282666,0.841939936894298,0.8666666666666667,0.8487089956898636
KNN,{'n_neighbors': 15},DistMult,DistMult + Tabular + FE,0.8674999999999999,0.8484878916027865,0.8514959432048682,0.8800000000000001,0.862522306647193
KNN,{'n_neighbors': 20},TransH,Baseline,0.975,0.967741935483871,0.9375,1.0,0.9868421052631579
KNN,{'n_neighbors': 20},TransH,TransH Only,0.8,0.4838709677419355,0.46875,0.5,0.4934210526315789
KNN,{'n_neighbors': 20},TransH,TransH + Tabular,0.8583333333333334,0.6451612903225806,0.625,0.6666666666666666,0.6578947368421052
KNN,{'n_neighbors': 20},TransH,TransH FE Only,0.859375,0.6856253537068477,0.681712962962963,0.6916666666666667,0.6889992839240959
KNN,{'n_neighbors': 20},TransH,TransH + Tabular + FE,0.8825,0.7420486700622524,0.7328703703703704,0.7533333333333333,0.7485678481919084
KNN,{'n_neighbors': 20},DistMult,Baseline,0.8979166666666666,0.7796642142991889,0.7669753086419754,0.7944444444444444,0.78828022437045
KNN,{'n_neighbors': 20},DistMult,DistMult Only,0.8589285714285714,0.6682836122564476,0.6574074074074074,0.680952380952381,0.6756687637461
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular,0.8734375,0.7057159026598755,0.6924189814814815,0.7208333333333333,0.7145654314357321
KNN,{'n_neighbors': 20},DistMult,DistMult FE Only,0.8291666666666666,0.692662501710739,0.6617798353909465,0.7518518518518519,0.721974827942873
KNN,{'n_neighbors': 20},DistMult,DistMult + Tabular + FE,0.84375,0.7201704450880522,0.6893518518518519,0.7766666666666666,0.7484615556749015
KNN,{'n_neighbors': 25},TransH,Baseline,0.9625,0.9523809523809523,0.9090909090909091,1.0,0.980392156862745
KNN,{'n_neighbors': 25},TransH,TransH Only,0.76875,0.47619047619047616,0.45454545454545453,0.5,0.4901960784313725
KNN,{'n_neighbors': 25},TransH,TransH + Tabular,0.8333333333333334,0.6349206349206349,0.6060606060606061,0.6666666666666666,0.65359477124183
KNN,{'n_neighbors': 25},TransH,TransH FE Only,0.859375,0.7063492063492063,0.6742424242424242,0.7416666666666667,0.7271241830065359
KNN,{'n_neighbors': 25},TransH,TransH + Tabular + FE,0.8800000000000001,0.7555555555555555,0.7212121212121212,0.7933333333333333,0.7777777777777777
KNN,{'n_neighbors': 25},DistMult,Baseline,0.8937500000000002,0.7883597883597884,0.7525252525252525,0.8277777777777778,0.8115468409586056
KNN,{'n_neighbors': 25},DistMult,DistMult Only,0.8553571428571429,0.6757369614512472,0.6450216450216449,0.7095238095238096,0.6956115779645191
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular,0.86875,0.7103174603174602,0.678030303030303,0.7458333333333333,0.7312091503267972
KNN,{'n_neighbors': 25},DistMult,DistMult FE Only,0.8541666666666666,0.6826753493420159,0.7138047138047138,0.6962962962962963,0.6887233791018559
KNN,{'n_neighbors': 25},DistMult,DistMult + Tabular + FE,0.865,0.7096459096459096,0.7333333333333333,0.7266666666666667,0.7178902568779448
KNN,{'n_neighbors': 30},TransH,Baseline,0.9625,0.9523809523809523,0.9090909090909091,1.0,0.980392156862745
KNN,{'n_neighbors': 30},TransH,TransH Only,0.66875,0.7489177489177489,0.6420454545454546,1.0,0.8651960784313725
KNN,{'n_neighbors': 30},TransH,TransH + Tabular,0.7666666666666666,0.8167388167388167,0.7310606060606061,1.0,0.90359477124183
KNN,{'n_neighbors': 30},TransH,TransH FE Only,0.79375,0.8125541125541125,0.7982954545454546,0.9166666666666666,0.856267507002801
KNN,{'n_neighbors': 30},TransH,TransH + Tabular + FE,0.8275,0.8405194805194804,0.8204545454545455,0.9333333333333332,0.8810924369747898
KNN,{'n_neighbors': 30},DistMult,Baseline,0.8500000000000001,0.8591630591630591,0.8352272727272728,0.9444444444444443,0.897642390289449
KNN,{'n_neighbors': 30},DistMult,DistMult Only,0.817857142857143,0.7364254792826221,0.7159090909090909,0.8095238095238094,0.7694077631052421
KNN,{'n_neighbors': 30},DistMult,DistMult + Tabular,0.8359375,0.7634199134199133,0.7400568181818181,0.8333333333333333,0.7957808123249298
KNN,{'n_neighbors': 30},DistMult,DistMult FE Only,0.825,0.7609000053444497,0.7231877599524658,0.8518518518518517,0.8048266090061754
KNN,{'n_neighbors': 30},DistMult,DistMult + Tabular + FE,0.8387499999999999,0.7800481000481,0.7417780748663101,0.8666666666666666,0.8223831637918323
KNN,{'n_neighbors': 35},TransH,Baseline,0.9625,0.9523809523809523,0.9090909090909091,1.0,0.980392156862745
KNN,{'n_neighbors': 35},TransH,TransH Only,0.79375,0.47619047619047616,0.45454545454545453,0.5,0.4901960784313725
KNN,{'n_neighbors': 35},TransH,TransH + Tabular,0.85,0.6349206349206349,0.6060606060606061,0.6666666666666666,0.65359477124183
KNN,{'n_neighbors': 35},TransH,TransH FE Only,0.8312499999999999,0.6190476190476191,0.7045454545454546,0.6,0.6038324420677361
KNN,{'n_neighbors': 35},TransH,TransH + Tabular + FE,0.8574999999999999,0.6857142857142857,0.7454545454545455,0.6799999999999999,0.6791443850267379
KNN,{'n_neighbors': 35},DistMult,Baseline,0.875,0.7301587301587302,0.7727272727272728,0.7333333333333334,0.7293523469994058
KNN,{'n_neighbors': 35},DistMult,DistMult Only,0.8375,0.6258503401360545,0.6623376623376623,0.6285714285714287,0.6251591545709193
KNN,{'n_neighbors': 35},DistMult,DistMult + Tabular,0.853125,0.6666666666666666,0.6931818181818181,0.675,0.6695632798573974
KNN,{'n_neighbors': 35},DistMult,DistMult FE Only,0.8194444444444444,0.662037037037037,0.6666666666666665,0.7111111111111111,0.6847730946402673
KNN,{'n_neighbors': 35},DistMult,DistMult + Tabular + FE,0.83375,0.6910714285714286,0.6909090909090908,0.74,0.714335000862515
KNN,{'n_neighbors': 40},TransH,Baseline,0.9625,0.9523809523809523,0.9090909090909091,1.0,0.980392156862745
KNN,{'n_neighbors': 40},TransH,TransH Only,0.79375,0.47619047619047616,0.45454545454545453,0.5,0.4901960784313725
KNN,{'n_neighbors': 40},TransH,TransH + Tabular,0.85,0.6349206349206349,0.6060606060606061,0.6666666666666666,0.65359477124183
KNN,{'n_neighbors': 40},TransH,TransH FE Only,0.8312499999999999,0.6190476190476191,0.7045454545454546,0.6,0.6038324420677361
KNN,{'n_neighbors': 40},TransH,TransH + Tabular + FE,0.8574999999999999,0.6857142857142857,0.7454545454545455,0.6799999999999999,0.6791443850267379
KNN,{'n_neighbors': 40},DistMult,Baseline,0.875,0.7301587301587302,0.7727272727272728,0.7333333333333334,0.7293523469994058
KNN,{'n_neighbors': 40},DistMult,DistMult Only,0.8410714285714286,0.6350669299978057,0.8051948051948052,0.6333333333333334,0.6310623422922887
KNN,{'n_neighbors': 40},DistMult,DistMult + Tabular,0.8562500000000001,0.6747311827956989,0.8181818181818182,0.6791666666666667,0.6747285691135958
KNN,{'n_neighbors': 40},DistMult,DistMult FE Only,0.8611111111111112,0.6937781453910485,0.8383838383838385,0.6851851851851852,0.6858307155814123
KNN,{'n_neighbors': 40},DistMult,DistMult + Tabular + FE,0.8712500000000001,0.7196384260900389,0.8454545454545455,0.7166666666666667,0.7152868597095455
KNN,{'n_neighbors': 45},TransH,Baseline,0.9625,0.9523809523809523,0.9090909090909091,1.0,0.980392156862745
KNN,{'n_neighbors': 45},TransH,TransH Only,0.7625,0.7838827838827839,0.684053651266766,0.9666666666666667,0.8769364099230852
KNN,{'n_neighbors': 45},TransH,TransH + Tabular,0.8291666666666666,0.8400488400488401,0.7590660705414803,0.9777777777777779,0.9114216589029717
KNN,{'n_neighbors': 45},TransH,TransH FE Only,0.8156249999999999,0.7728937728937729,0.8192995529061102,0.8333333333333334,0.7972026078135924
KNN,{'n_neighbors': 45},TransH,TransH + Tabular + FE,0.845,0.8087912087912088,0.83725782414307,0.8666666666666668,0.8338405176234229
KNN,{'n_neighbors': 45},DistMult,Baseline,0.8645833333333334,0.8327228327228328,0.8492300049677098,0.888888888888889,0.8582657908299766
KNN,{'n_neighbors': 45},DistMult,DistMult Only,0.8303571428571429,0.7137624280481424,0.7279114328294656,0.761904761904762,0.7356563921399799
KNN,{'n_neighbors': 45},DistMult,DistMult + Tabular,0.846875,0.7435897435897435,0.7505588673621459,0.7916666666666666,0.7662483627303256
KNN,{'n_neighbors': 45},DistMult,DistMult FE Only,0.8611111111111112,0.7683760683760683,0.7745708450626483,0.8111111111111111,0.7885170631676969
KNN,{'n_neighbors': 45},DistMult,DistMult + Tabular + FE,0.8712500000000001,0.7867765567765568,0.7880228514654743,0.8300000000000001,0.8077045725372016
KNN,{'n_neighbors': 50},TransH,Baseline,0.95,0.9375,0.8823529411764706,1.0,0.9740259740259741
KNN,{'n_neighbors': 50},TransH,TransH Only,0.8125,0.7280092592592593,0.732843137254902,0.7333333333333334,0.7300685425685426
KNN,{'n_neighbors': 50},TransH,TransH + Tabular,0.8583333333333334,0.7978395061728395,0.7826797385620915,0.8222222222222223,0.8113876863876864
KNN,{'n_neighbors': 50},TransH,TransH FE Only,0.8343750000000001,0.7325259710930443,0.8370098039215687,0.7083333333333334,0.7135025968518335
KNN,{'n_neighbors': 50},TransH,TransH + Tabular + FE,0.8575000000000002,0.7735207768744354,0.846078431372549,0.7666666666666667,0.7656072722866616
KNN,{'n_neighbors': 50},DistMult,Baseline,0.8729166666666668,0.8008506473953628,0.852124183006536,0.8055555555555557,0.800343722576547
KNN,{'n_neighbors': 50},DistMult,DistMult Only,0.8375000000000001,0.6864434120531682,0.7303921568627452,0.6904761904761906,0.6860089050656117
KNN,{'n_neighbors': 50},DistMult,DistMult + Tabular,0.8515625,0.7178254855465221,0.7493872549019608,0.7291666666666667,0.7220110386856571
KNN,{'n_neighbors': 50},DistMult,DistMult FE Only,0.8263888888888888,0.6380670982635752,0.6661220043572985,0.6481481481481483,0.6417875899428063
KNN,{'n_neighbors': 50},DistMult,DistMult + Tabular + FE,0.8387499999999999,0.6680103884372177,0.6877450980392157,0.6833333333333333,0.675011428351123
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",TransH,Baseline,1.0,1.0,1.0,1.0,1.0
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",TransH,TransH Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",TransH,TransH FE Only,0.821875,0.5454545454545454,0.75,0.525,0.5304878048780488
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular + FE,0.8574999999999999,0.6363636363636364,0.8,0.62,0.624390243902439
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",DistMult,Baseline,0.88125,0.6969696969696969,0.8333333333333334,0.6833333333333332,0.6869918699186992
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult Only,0.8392857142857143,0.6055658627087198,0.7428571428571429,0.5904761904761904,0.5945644599303136
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular,0.859375,0.6548701298701298,0.775,0.6416666666666666,0.6452439024390244
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult FE Only,0.8333333333333334,0.582106782106782,0.6888888888888889,0.5703703703703703,0.573550135501355
SVM,"{'C': 0.9, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular + FE,0.85,0.6238961038961038,0.72,0.6133333333333333,0.6161951219512195
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",TransH,Baseline,1.0,1.0,1.0,1.0,1.0
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",TransH,TransH Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",TransH,TransH FE Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular + FE,0.85,0.6,0.6,0.6,0.6
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",DistMult,Baseline,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult Only,0.8392857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular,0.859375,0.625,0.625,0.625,0.625
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult FE Only,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
SVM,"{'C': 1.0, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular + FE,0.85,0.6,0.6,0.6,0.6
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",TransH,Baseline,1.0,1.0,1.0,1.0,1.0
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",TransH,TransH Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",TransH,TransH FE Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular + FE,0.85,0.6,0.6,0.6,0.6
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",DistMult,Baseline,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult Only,0.8392857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular,0.859375,0.625,0.625,0.625,0.625
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult FE Only,0.8638888888888889,0.6495726495726495,0.6666666666666666,0.6370370370370371,0.6416275430359938
SVM,"{'C': 1.1, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular + FE,0.8775000000000001,0.6846153846153846,0.7,0.6733333333333333,0.6774647887323944
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",TransH,Baseline,1.0,1.0,1.0,1.0,1.0
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",TransH,TransH Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",TransH,TransH FE Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular + FE,0.85,0.6,0.6,0.6,0.6
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",DistMult,Baseline,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult Only,0.8392857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular,0.859375,0.625,0.625,0.625,0.625
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult FE Only,0.8666666666666667,0.65625,0.6503267973856208,0.662962962962963,0.6601731601731602
SVM,"{'C': 1.2, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular + FE,0.8800000000000001,0.690625,0.6852941176470588,0.6966666666666667,0.6941558441558442
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",TransH,Baseline,1.0,1.0,1.0,1.0,1.0
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",TransH,TransH Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",TransH,TransH FE Only,0.8125,0.5,0.5,0.5,0.5
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",TransH,TransH + Tabular + FE,0.85,0.6,0.6,0.6,0.6
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",DistMult,Baseline,0.875,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult Only,0.8392857142857143,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular,0.859375,0.625,0.625,0.625,0.625
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult FE Only,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
SVM,"{'C': 1.2999999999999998, 'kernel': 'rbf', 'probability': True}",DistMult,DistMult + Tabular + FE,0.85,0.6,0.6,0.6,0.6
SVM,"{'C': 1.4, 'kernel': 'rbf', 'probability': True}",TransH,Baseline,1.0,1.0,1.0,1.0,1.0
SVM,"{'C': 1.4, 'kernel': 'rbf', 'probability': True}",TransH,TransH Only,0.8125,0.5,0.5,0.5,0.5
